book_id,similar_book_id,similarity_score,rank
1,3,0.3794,1
1,2,0.3778,2
1,4,0.3778,3
1,50,0.1072,4
1,44,0.0739,5
1,8,0.0708,6
1,39,0.0592,7
1,83,0.0576,8
2,3,0.3794,1
2,1,0.3778,2
2,4,0.3778,3
2,64,0.1646,4
2,45,0.1072,5
2,18,0.0925,6
2,20,0.0917,7
2,33,0.0903,8
2,73,0.0576,9
3,4,0.3969,1
3,1,0.3794,2
3,2,0.3794,3
3,82,0.1757,4
3,64,0.0934,5
3,16,0.0778,6
3,47,0.0646,7
4,3,0.3969,1
4,1,0.3778,2
4,2,0.3778,3
4,50,0.1802,4
4,47,0.1247,5
4,82,0.1139,6
4,17,0.0925,7
4,33,0.0903,8
4,35,0.0897,9
4,36,0.0891,10
5,70,0.5654,1
5,69,0.4361,2
5,7,0.3812,3
5,6,0.3763,4
5,8,0.3763,5
5,68,0.1294,6
5,57,0.0739,7
5,44,0.0627,8
5,10,0.0583,9
6,70,0.4222,1
6,8,0.3895,2
6,7,0.3794,3
6,5,0.3763,4
6,69,0.375,5
6,44,0.1056,6
6,55,0.0592,7
6,28,0.0576,8
6,34,0.0569,9
7,70,0.3833,1
7,5,0.3812,2
7,6,0.3794,3
7,8,0.3794,4
7,69,0.3794,5
7,44,0.0667,6
7,66,0.0576,7
7,16,0.05,8
8,6,0.3895,1
8,7,0.3794,2
8,70,0.3778,3
8,5,0.3763,4
8,69,0.375,5
8,10,0.0722,6
8,47,0.0722,7
8,1,0.0708,8
8,4,0.0708,9
8,44,0.0611,10
9,10,0.4278,1
9,12,0.4278,2
9,11,0.3656,3
9,68,0.3656,4
9,36,0.2303,5
9,35,0.0722,6
9,41,0.0637,7
9,20,0.0601,8
9,37,0.0601,9
9,49,0.0601,10
10,9,0.4278,1
10,11,0.3812,2
10,68,0.3812,3
10,12,0.3647,4
10,8,0.0722,5
10,17,0.0601,6
10,47,0.0592,7
10,70,0.0592,8
10,4,0.0583,9
10,5,0.0583,10
11,68,0.4444,1
11,10,0.3812,2
11,9,0.3656,3
11,12,0.3647,4
11,79,0.0757,5
11,35,0.0708,6
11,75,0.0708,7
11,33,0.0576,8
12,9,0.4278,1
12,10,0.3647,2
12,11,0.3647,3
12,68,0.3647,4
12,36,0.1556,5
12,49,0.0592,6
12,40,0.0576,7
13,14,0.4569,1
13,15,0.3794,2
13,16,0.3647,3
13,67,0.2625,4
13,72,0.1739,5
13,43,0.1147,6
13,50,0.1072,7
13,41,0.1,8
13,42,0.1,9
13,44,0.1,10
14,13,0.4569,1
14,15,0.3794,2
14,16,0.3647,3
14,67,0.2069,4
14,43,0.1147,5
14,72,0.1139,6
14,41,0.1,7
14,42,0.1,8
14,44,0.1,9
14,71,0.1,10
15,13,0.3794,1
15,14,0.3794,2
15,16,0.3656,3
15,41,0.1,4
15,42,0.1,5
15,43,0.1,6
15,44,0.1,7
15,71,0.1,8
15,72,0.1,9
15,47,0.0925,10
16,15,0.3656,1
16,13,0.3647,2
16,14,0.3647,3
16,41,0.2417,4
16,44,0.1156,5
16,42,0.1,6
16,43,0.1,7
16,71,0.1,8
16,72,0.1,9
16,3,0.0778,10
17,18,0.3667,1
17,64,0.3667,2
17,65,0.3667,3
17,20,0.3656,4
17,19,0.3647,5
17,47,0.1333,6
17,4,0.0925,7
17,28,0.0667,8
17,10,0.0601,9
17,15,0.0601,10
18,64,0.4521,1
18,65,0.4521,2
18,20,0.448,3
18,17,0.3667,4
18,19,0.3647,5
18,33,0.2247,6
18,2,0.0925,7
18,73,0.0592,8
19,65,0.4257,1
